Categories,Location,Median Av Total
Commercial,Westwood,724500
Commercial,West Fens|Kenmore Square,799000
Commercial,West Broadway|South Boston,3872661.5
Commercial,Upper Washington|West Roxbury,567500
Commercial,Stony Brook|Hyde Park,394000
Commercial,Southern Mattapan|Mattapan,373599.5
Commercial,South End,588500
Commercial,Port Norfolk|Dorchester,371000
Commercial,Oak Square|Allston,824750
Commercial,North End,780500
Commercial,Mission Hill Projects|Jamaica Plain,301600
Commercial,Metropolitan Hill|Roslindale,402500
Commercial,Medford St|Charlestown,464000
Commercial,Jeffries Point|East Boston,322813.5
Commercial,Jamaica Hills|Jamaica Plain,408250
Commercial,Harbor Islands,332500
Commercial,Government Center|Downtown,11603000
Commercial,Financial District|Downtown,588000
Commercial,Downtown,820500
Commercial,Codman Sq|Dorchester,360500
Commercial,Chinatown,587000
Commercial,Beacon Hill,256250
Commercial,Back Bay,3013500
Commercial,"Allston, Suffolk",844500
Commercial,	Washington Park|Roxbury,229000
Commercial,	Telegraph Hill|South Boston,397500
Commercial,	Prudential,6393000
Commercial,	Franklin Field North|Roxbury,332703
Residential,West Fens|Kenmore Square,496600
Residential,West Broadway|South Boston,753400
Residential,Upper Washington|West Roxbury,439560
Residential,Stony Brook|Hyde Park,347900
Residential,Southern Mattapan|Mattapan,362000
Residential,South End,622900
Residential,Port Norfolk|Dorchester,415000
Residential,Oak Square|Allston,400100
Residential,North End,591200
Residential,North Brookine,837400
Residential,Mission Hill Projects|Jamaica Plain,562550
Residential,"Milton, Norfolk",286440
Residential,Metropolitan Hill|Roslindale,436000
Residential,Medford St|Charlestown,593300
Residential,Jeffries Point|East Boston,435300
Residential,Jamaica Hills|Jamaica Plain,521550
Residential,Harbor Islands,421700
Residential,Financial District|Downtown,906150
Residential,Downtown,484200
Residential,Codman Sq|Dorchester,422300
Residential,Chinatown,709400
Residential,Chestnut Hill,262600
Residential,"Brookline, MA",1425000
Residential,Beacon Hill,1061050
Residential,Back Bay,904850
Residential,"Allston, Suffolk",431500
Residential,	Washington Park|Roxbury,355850
Residential,	Telegraph Hill|South Boston,557950
Residential,	Prudential,3134750
Residential,	Franklin Field North|Roxbury,402900
Residential,	Financial District|Downtown,46600
